+------------+----------------------------------+
| Сommits #  |  Contributor                     |
|     3      |  obneq                           |
|     3      |  stujones11                      |
|     3      |  unknown                         |
|     2      |  4Evergreen4                     |
|     2      |  David Gumberg                   |
|     2      |  Dêivan Ortiz Munhoz             |
|     2      |  Fabio Luongo                    |
|     2      |  Ilya Pavlov                     |
|     2      |  Jabo Babo                       |
|     2      |  Jiří Procházka                  |
|     2      |  Jonas Kriaučiūnas               |
|     2      |  L JJ                            |
|     2      |  LS-Steeef                       |
|     2      |  LeMagnesium                     |
|     2      |  Mahmut Elmas                    |
|     2      |  Megaf                           |
|     2      |  Mitchell Ward                   |
|     2      |  MrLoom                          |
|     2      |  Muhammad Rifqi Priyo Susanto    |
|     2      |  Petr Hála                       |
|     2      |  Ragnar Laud                     |
|     2      |  Robert Arkenin                  |
|     2      |  Rutger NL                       |
|     2      |  Sasikaa Lacikaa                 |
|     2      |  Sergey Gilfanov                 |
|     2      |  Sokomine                        |
|     2      |  Thomas Lauro                    |
|     2      |  Tomona Nanase                   |
|     2      |  Vladimir a                      |
|     2      |  hasufell                        |
|     2      |  jeanpatrick.guerrero@gmail.com  |
|     2      |  srifqi                          |
|     1      |  (@U-Exp)                        |
|     1      |  ?????? ????????                 |
|     1      |  Anthony                         |
|     1      |  Anton                           |
|     1      |  AntonBoch1244                   |
|     1      |  Artem Sinkevich                 |
|     1      |  Bad-Command                     |
|     1      |  Brandon                         |
|     1      |  Brent Hull                      |
|     1      |  Casimir                         |
|     1      |  Christophe Piveteau             |
|     1      |  Chyngyz Dzhumaliev              |
|     1      |  Craig Davison                   |
|     1      |  Cy                              |
|     1      |  Daniel Ziolkowski               |
|     1      |  Dany Cuartiella                 |
|     1      |  David Thompson                  |
|     1      |  Dániel Varga                    |
|     1      |  Enki                            |
|     1      |  FessWolf                        |
|     1      |  Frantisek Simorda               |
|     1      |  Garrosh                         |
|     1      |  Jay Arndt                       |
|     1      |  Jonathon Anderson               |
|     1      |  Joshua Beck                     |
|     1      |  João Farias                     |
|     1      |  KodexKy                         |
|     1      |  Kyle                            |
|     1      |  Leonardo Costa                  |
|     1      |  Mario Barrera                   |
|     1      |  Markus Lehmann                  |
|     1      |  Martin Doege                    |
|     1      |  Matthew Bekkema                 |
|     1      |  Me Moala                        |
|     1      |  Miguel Almeida                  |
|     1      |  Mikaela Suomalainen             |
|     1      |  Mukul Sati                      |
|     1      |  Mushiden                        |
|     1      |  Nicola Spanti                   |
|     1      |  Oleg Matveev                    |
|     1      |  PenguinDad                      |
|     1      |  Rafael Reilova                  |
|     1      |  Rui914                          |
|     1      |  Rune Biskopstö Christensen      |
|     1      |  Russ                            |
|     1      |  Ryan Newell                     |
|     1      |  Sindre Tellevik                 |
|     1      |  Splizard                        |
|     1      |  Stefan Beller                   |
|     1      |  Steven Smith                    |
|     1      |  Tomas Brod                      |
|     1      |  Vincent Heuken                  |
|     1      |  William Strealy                 |
|     1      |  William Teder                   |
|     1      |  Wolfgang Fellger                |
|     1      |  Wouters Dorian                  |
|     1      |  Yaman                           |
|     1      |  Zeno-                           |
|     1      |  b p                             |
|     1      |  bcnjr5                          |
|     1      |  berkut                          |
|     1      |  c h                             |
|     1      |  donat_b                         |
|     1      |  dvere                           |
|     1      |  eduardojsm                      |
|     1      |  fairiestoy                      |
|     1      |  fishyWET                        |
|     1      |  hdastwb                         |
|     1      |  jordan4ibanez                   |
|     1      |  mahmutelmas06                   |
|     1      |  mich1                           |
|     1      |  mimilus                         |
|     1      |  onkrot                          |
|     1      |  pandoro almascarpone            |
|     1      |  poet-nohit                      |
|     1      |  sruz25                          |
|     1      |  sub reptice                     |
|     1      |  tenplus1                        |
|     1      |  v c                             |
|     1      |  yuqian wang                     |
|     1      |  Сергей Голубев                  |
+------------+----------------------------------+
